id,sign,signer,start,end
CLSFBI0103A_S001_B_342137_342845,PT:LOC,S001,342137,342845
CLSFBI0103A_S001_B_342714_342971,PT:PRO1,S001,342714,342971
CLSFBI0103A_S001_B_348628_348750,PT:PRO1,S001,348628,348750
CLSFBI0103A_S001_B_351157_351396,PT:PRO4,S001,351157,351396
CLSFBI0103A_S001_B_351675_351833,PT:PRO1,S001,351675,351833
CLSFBI0103A_S001_B_354079_354276,PT:PRO6,S001,354079,354276
CLSFBI0103A_S001_B_355855_355957,PT:PRO1,S001,355855,355957
CLSFBI0103A_S001_B_356747_356922,PT:PRO1,S001,356747,356922
CLSFBI0103A_S001_B_357905_358051,PT:PRO1,S001,357905,358051
CLSFBI0103A_S001_B_359473_359628,PT:PRO1,S001,359473,359628
CLSFBI0103A_S001_B_360827_360952,PT:PRO1,S001,360827,360952
CLSFBI0103A_S001_B_361661_361800,PT:PRO1,S001,361661,361800
CLSFBI0103A_S001_B_362684_362803,PT:PRO1,S001,362684,362803
CLSFBI0103A_S001_B_365675_366033,PT:PRO4,S001,365675,366033
CLSFBI0103A_S001_B_366625_366968,PT:PRO4,S001,366625,366968
CLSFBI0103A_S001_B_367112_367378,NS:INDECIPHERABLE,S001,367112,367378
CLSFBI0103A_S001_B_367894_368664,NS:INDECIPHERABLE,S001,367894,368664
CLSFBI0103A_S001_B_368733_368908,PT:PRO3,S001,368733,368908
CLSFBI0103A_S001_B_368941_369149,PT:PRO4,S001,368941,369149
CLSFBI0103A_S001_B_369722_369957,PT:PRO2,S001,369722,369957
CLSFBI0103A_S001_B_370741_370857,PT:PRO1,S001,370741,370857
CLSFBI0103A_S001_B_371350_371674,PT:PRO4,S001,371350,371674
CLSFBI0103A_S001_B_374553_374789,PT:PRO1,S001,374553,374789
CLSFBI0103A_S001_B_376699_376843,PT:PRO1,S001,376699,376843
CLSFBI0103A_S001_B_381683_381994,PT:PRO4,S001,381683,381994
CLSFBI0103A_S001_B_383827_384013,PT:PRO1,S001,383827,384013
CLSFBI0103A_S001_B_384730_385021,PT:PRO4,S001,384730,385021
CLSFBI0103A_S001_B_385586_385666,PT:PRO1,S001,385586,385666
CLSFBI0103A_S001_B_387470_387647,PT:POSS1,S001,387470,387647
CLSFBI0103A_S001_B_388442_388575,PT:PRO1,S001,388442,388575
CLSFBI0103A_S001_B_388946_389068,PT:POSS,S001,388946,389068
CLSFBI0103A_S001_B_390068_390301,PT:PRO6,S001,390068,390301
CLSFBI0103A_S001_B_390379_390581,PT:PRO1,S001,390379,390581
CLSFBI0103A_S001_B_390800_391091,PT:PRO6,S001,390800,391091
CLSFBI0103A_S001_B_391716_391788,PT:PRO1,S001,391716,391788
CLSFBI0103A_S001_B_392210_392431,PT:PRO1,S001,392210,392431
CLSFBI0103A_S001_B_393007_393190,PT:PRO1,S001,393007,393190
CLSFBI0103A_S001_B_394038_394284,PT:PRO1,S001,394038,394284
CLSFBI0103A_S001_B_394595_394725,PT:PRO1,S001,394595,394725
CLSFBI0103A_S001_B_395088_395235,PT:PRO1,S001,395088,395235
CLSFBI0103A_S001_B_407727_407860,PT:PRO1,S001,407727,407860
CLSFBI0103A_S001_B_407874_407921,PT:PRO1,S001,407874,407921
CLSFBI0103A_S001_B_407963_408193,PALM-UP,S001,407963,408193
CLSFBI0103A_S001_B_408493_408587,PT:PRO1,S001,408493,408587
CLSFBI0103A_S001_B_409321_409518,PT:PRO1,S001,409321,409518
CLSFBI0103A_S001_B_409988_410157,PT:PRO1,S001,409988,410157
CLSFBI0103A_S001_B_418697_419260,PT:PRO4,S001,418697,419260
CLSFBI0103A_S001_B_422698_422800,PT:PRO1,S001,422698,422800
CLSFBI0103A_S001_B_423540_423662,PT:PRO1,S001,423540,423662
CLSFBI0103A_S001_B_424168_424440,PT:PRO4,S001,424168,424440
CLSFBI0103A_S001_B_427196_427312,PT:PRO2,S001,427196,427312
CLSFBI0103A_S001_B_427323_427404,PT:PRO1,S001,427323,427404
CLSFBI0103A_S001_B_431022_431201,PT:PRO1,S001,431022,431201
CLSFBI0103A_S001_B_433102_433357,PALM-UP,S001,433102,433357
CLSFBI0103A_S001_B_433636_433816,PALM-UP,S001,433636,433816
CLSFBI0103A_S001_B_434435_434634,PT:PRO2,S001,434435,434634
CLSFBI0103A_S001_B_435718_435956,PT:PRO4,S001,435718,435956
CLSFBI0103A_S001_B_436013_436423,PT:PRO1,S001,436013,436423
CLSFBI0103A_S001_B_436200_436416,PT:PRO1,S001,436200,436416
CLSFBI0103A_S001_B_437937_438156,PT:PRO4,S001,437937,438156
CLSFBI0103A_S001_B_440093_440234,PT:PRO1,S001,440093,440234
CLSFBI0103A_S001_B_441697_441952,PT:PRO1,S001,441697,441952
CLSFBI0103A_S001_B_442792_442980,PT:PRO1,S001,442792,442980
CLSFBI0103A_S001_B_444456_444789,PT:PRO4,S001,444456,444789
CLSFBI0103A_S001_B_448466_448707,PT:PRO1,S001,448466,448707
CLSFBI0103A_S001_B_450086_450183,PT:PRO1,S001,450086,450183
CLSFBI0103A_S001_B_457877_458165,PALM-UP,S001,457877,458165
CLSFBI0103A_S001_B_463516_463629,PT:PRO1,S001,463516,463629
CLSFBI0103A_S001_B_465302_465510,PT:PRO1,S001,465302,465510
CLSFBI0103A_S001_B_465582_466437,PALM-UP,S001,465582,466437
CLSFBI0103A_S001_B_467026_467469,PALM-UP,S001,467026,467469
CLSFBI0103A_S001_B_471067_471200,PT:PRO1,S001,471067,471200
CLSFBI0103A_S001_B_474931_475211,PT:PRO1,S001,474931,475211
CLSFBI0103A_S001_B_476325_476505,PT:PRO1,S001,476325,476505
CLSFBI0103A_S001_B_479195_479922,PALM-UP,S001,479195,479922
CLSFBI0103A_S001_B_479195_480412,PALM-UP,S001,479195,480412
CLSFBI0103A_S001_B_480406_480536,PT:PRO3,S001,480406,480536
CLSFBI0103A_S001_B_481107_481357,PT:PRO3,S001,481107,481357
CLSFBI0103A_S001_B_483088_483296,PT:PRO1,S001,483088,483296
CLSFBI0103A_S001_B_484555_484762,PT:PRO1,S001,484555,484762
CLSFBI0103A_S001_B_484878_485177,PALM-UP,S001,484878,485177
CLSFBI0103A_S001_B_487033_487166,PT:POSS1,S001,487033,487166
CLSFBI0103A_S001_B_490827_491503,PALM-UP,S001,490827,491503
CLSFBI0103A_S001_B_490827_492797,PALM-UP,S001,490827,492797
CLSFBI0103A_S001_B_492117_492277,PT:POSS1,S001,492117,492277
CLSFBI0103A_S001_B_493376_493689,PALM-UP,S001,493376,493689
CLSFBI0103A_S001_B_493376_494473,PALM-UP,S001,493376,494473
CLSFBI0103A_S001_B_493874_493973,PT:POSS1,S001,493874,493973
CLSFBI0103A_S001_B_497544_498116,PALM-UP,S001,497544,498116
CLSFBI0103A_S001_B_499855_500332,PALM-UP,S001,499855,500332
CLSFBI0103A_S002_B_230_870,PALM-UP,S002,230,870
CLSFBI0103A_S002_B_1540_2410,PT:PRO1,S002,1540,2410
CLSFBI0103A_S002_B_4960_5470,PT:PRO1,S002,4960,5470
CLSFBI0103A_S002_B_9665_9855,PT:POSS1,S002,9665,9855
CLSFBI0103A_S002_B_12021_12486,PT:LOC,S002,12021,12486
CLSFBI0103A_S002_B_13435_13937,PT:LOC,S002,13435,13937
CLSFBI0103A_S002_B_15880_15985,PT:PRO1,S002,15880,15985
CLSFBI0103A_S002_B_22114_22457,PALM-UP,S002,22114,22457
CLSFBI0103A_S002_B_24453_24717,GSIGN,S002,24453,24717
CLSFBI0103A_S002_B_25491_25987,GSIGN,S002,25491,25987
CLSFBI0103A_S002_B_26335_26530,PT:POSS1,S002,26335,26530
CLSFBI0103A_S002_B_26870_27017,PT:POSS1,S002,26870,27017
CLSFBI0103A_S002_B_43079_43618,DS,S002,43079,43618
CLSFBI0103A_S002_B_44184_44384,PT:PRO1,S002,44184,44384
CLSFBI0103A_S002_B_45687_45860,PT:PRO1,S002,45687,45860
CLSFBI0103A_S002_B_46571_46930,PT:LOC,S002,46571,46930
CLSFBI0103A_S002_B_52231_52560,PT:LOC,S002,52231,52560
CLSFBI0103A_S002_B_55621_55783,PT:DET,S002,55621,55783
CLSFBI0103A_S002_B_57199_58155,DS,S002,57199,58155
CLSFBI0103A_S002_B_70980_71324,PT:PRO1,S002,70980,71324
CLSFBI0103A_S002_B_74029_74165,PT:PRO1,S002,74029,74165
CLSFBI0103A_S002_B_76144_76500,DS,S002,76144,76500
CLSFBI0103A_S002_B_76709_76819,PT:PRO1,S002,76709,76819
CLSFBI0103A_S002_B_82233_82764,PT:LOC,S002,82233,82764
CLSFBI0103A_S002_B_85649_85893,PT:PRO1,S002,85649,85893
CLSFBI0103A_S002_B_87838_88432,DS,S002,87838,88432
CLSFBI0103A_S002_B_91156_91293,PT:PRO1,S002,91156,91293
CLSFBI0103A_S002_B_92223_92404,PT:PRO1,S002,92223,92404
CLSFBI0103A_S002_B_93995_94220,PT:PRO1,S002,93995,94220
CLSFBI0103A_S002_B_94754_94909,PT:PRO1,S002,94754,94909
CLSFBI0103A_S002_B_95544_97385,DS,S002,95544,97385
CLSFBI0103A_S002_B_98158_98856,DS,S002,98158,98856
CLSFBI0103A_S002_B_99952_100055,PT:PRO1,S002,99952,100055
CLSFBI0103A_S002_B_100312_100460,PT:PRO1,S002,100312,100460
CLSFBI0103A_S002_B_100653_101118,DS,S002,100653,101118
CLSFBI0103A_S002_B_102097_102605,PT:LOC,S002,102097,102605
CLSFBI0103A_S002_B_121517_121779,PT:POSS1,S002,121517,121779
CLSFBI0103A_S002_B_126383_126914,PT:PRO1,S002,126383,126914
CLSFBI0103A_S002_B_127477_127595,PT:PRO1,S002,127477,127595
CLSFBI0103A_S002_B_130062_130412,PALM-UP,S002,130062,130412
CLSFBI0103A_S002_B_130740_130821,PT:PRO1,S002,130740,130821
CLSFBI0103A_S002_B_132245_132433,PT:PRO1,S002,132245,132433
CLSFBI0103A_S002_B_134517_134617,PT:PRO1,S002,134517,134617
CLSFBI0103A_S002_B_142134_142377,PT:PRO1,S002,142134,142377
CLSFBI0103A_S002_B_144473_144872,PALM-UP,S002,144473,144872
CLSFBI0103A_S002_B_147364_147704,PT:PRO3,S002,147364,147704
CLSFBI0103A_S002_B_148998_149275,PT:PRO1,S002,148998,149275
CLSFBI0103A_S002_B_149344_149599,PALM-UP,S002,149344,149599
CLSFBI0103A_S002_B_151582_151708,PT:PRO1,S002,151582,151708
CLSFBI0103A_S002_B_156823_156963,PALM-UP,S002,156823,156963
CLSFBI0103A_S002_B_156823_157140,PALM-UP,S002,156823,157140
CLSFBI0103A_S002_B_158060_158282,PT:PRO3,S002,158060,158282
CLSFBI0103A_S002_B_162233_162410,PT:PRO1,S002,162233,162410
CLSFBI0103A_S002_B_163792_164708,PT:PRO3,S002,163792,164708
CLSFBI0103A_S002_B_164372_164664,PT:LOC,S002,164372,164664
CLSFBI0103A_S002_B_166784_167105,PT:LOC,S002,166784,167105
CLSFBI0103A_S002_B_167852_168306,PT:LOC,S002,167852,168306
CLSFBI0103A_S002_B_171886_172259,PT:PRO1,S002,171886,172259
CLSFBI0103A_S002_B_173923_174203,PALM-UP,S002,173923,174203
CLSFBI0103A_S002_B_174523_175232,PT:LOC,S002,174523,175232
CLSFBI0103A_S002_B_176215_177141,PT:LOC,S002,176215,177141
CLSFBI0103A_S002_B_177976_178183,PT:PRO1,S002,177976,178183
CLSFBI0103A_S002_B_182316_182586,PT:PRO1,S002,182316,182586
CLSFBI0103A_S002_B_182666_182892,PT:LOC,S002,182666,182892
CLSFBI0103A_S002_B_183255_184243,PT:LOC,S002,183255,184243
CLSFBI0103A_S002_B_184822_187049,PT:PRO3,S002,184822,187049
CLSFBI0103A_S002_B_193881_194095,PT:PRO1,S002,193881,194095
CLSFBI0103A_S002_B_194733_196434,PT:PRO6,S002,194733,196434
CLSFBI0103A_S002_B_199884_200338,PALM-UP,S002,199884,200338
CLSFBI0103A_S002_B_201652_201914,PALM-UP,S002,201652,201914
CLSFBI0103A_S002_B_201988_202235,PT:PRO1,S002,201988,202235
CLSFBI0103A_S002_B_203010_203139,PT:PRO1,S002,203010,203139
CLSFBI0103A_S002_B_205220_206556,PT:PRO6,S002,205220,206556
CLSFBI0103A_S002_B_209033_209435,GSIGN,S002,209033,209435
CLSFBI0103A_S002_B_210579_211103,PALM-UP,S002,210579,211103
CLSFBI0103A_S002_B_211379_212014,PT:PRO4,S002,211379,212014
CLSFBI0103A_S002_B_214396_216464,PT:PRO3,S002,214396,216464
CLSFBI0103A_S002_B_216068_216496,PT:PRO4,S002,216068,216496
CLSFBI0103A_S002_B_218360_218489,PT:PRO1,S002,218360,218489
CLSFBI0103A_S002_B_218514_219330,DS,S002,218514,219330
CLSFBI0103A_S002_B_220925_221135,PT:PRO3,S002,220925,221135
CLSFBI0103A_S002_B_221852_222464,PT:PRO3,S002,221852,222464
CLSFBI0103A_S002_B_226164_226359,PT:PRO1,S002,226164,226359
CLSFBI0103A_S002_B_226164_227719,PT:PRO1,S002,226164,227719
CLSFBI0103A_S002_B_227873_228076,PT:PRO3,S002,227873,228076
CLSFBI0103A_S002_B_228923_229396,PT:PRO3,S002,228923,229396
CLSFBI0103A_S002_B_229796_230556,PT:PRO3,S002,229796,230556
CLSFBI0103A_S002_B_230709_230860,PT:PRO1,S002,230709,230860
CLSFBI0103A_S002_B_231684_231917,PT:PRO1,S002,231684,231917
CLSFBI0103A_S002_B_231968_232293,PALM-UP,S002,231968,232293
CLSFBI0103A_S002_B_231968_232959,PALM-UP,S002,231968,232959
CLSFBI0103A_S002_B_233783_234362,PT:PRO3,S002,233783,234362
CLSFBI0103A_S002_B_234370_234488,PT:PRO1,S002,234370,234488
CLSFBI0103A_S002_B_234520_234689,PALM-UP,S002,234520,234689
CLSFBI0103A_S002_B_236318_236855,PALM-UP,S002,236318,236855
CLSFBI0103A_S002_B_237145_237327,PT:PRO1,S002,237145,237327
CLSFBI0103A_S002_B_238160_238332,PT:PRO1,S002,238160,238332
CLSFBI0103A_S002_B_240399_240498,PT:PRO1,S002,240399,240498
CLSFBI0103A_S002_B_242114_242310,PT:PRO1,S002,242114,242310
CLSFBI0103A_S002_B_243458_245872,PT:LOC,S002,243458,245872
CLSFBI0103A_S002_B_247055_247324,PALM-UP,S002,247055,247324
CLSFBI0103A_S002_B_250552_250865,PALM-UP,S002,250552,250865
CLSFBI0103A_S002_B_252487_252753,PALM-UP,S002,252487,252753
CLSFBI0103A_S002_B_272445_272661,PT:LOC,S002,272445,272661
CLSFBI0103A_S002_B_277304_277426,PT:PRO1,S002,277304,277426
CLSFBI0103A_S002_B_281933_282337,PALM-UP,S002,281933,282337
CLSFBI0104A_S001_B_475_711,PT:PRO2,S001,475,711
CLSFBI0104A_S001_B_5273_6217,PALM-UP,S001,5273,6217
CLSFBI0104A_S001_B_47966_48221,PT:PRO2,S001,47966,48221
CLSFBI0104A_S001_B_55441_55928,PALM-UP,S001,55441,55928
CLSFBI0104A_S001_B_56436_56921,PT:PRO1,S001,56436,56921
CLSFBI0104A_S001_B_57293_57522,PT:PRO1,S001,57293,57522
CLSFBI0104A_S001_B_58577_58762,PT:PRO1,S001,58577,58762
CLSFBI0104A_S001_B_59785_59889,PT:PRO3,S001,59785,59889
CLSFBI0104A_S001_B_60141_60514,PT:PRO1,S001,60141,60514
CLSFBI0104A_S001_B_60578_61693,PALM-UP,S001,60578,61693
CLSFBI0104A_S001_B_63297_63711,PT:PRO4,S001,63297,63711
CLSFBI0104A_S001_B_65673_65765,PT:PRO2,S001,65673,65765
CLSFBI0104A_S001_B_66407_66499,PT:PRO1,S001,66407,66499
CLSFBI0104A_S001_B_66520_66822,PT:PRO2,S001,66520,66822
CLSFBI0104A_S001_B_66838_66939,PT:PRO1,S001,66838,66939
CLSFBI0104A_S001_B_68344_68466,PT:PRO1,S001,68344,68466
CLSFBI0104A_S001_B_74028_74107,PT:LOC,S001,74028,74107
CLSFBI0104A_S001_B_79465_82385,PT:LOC,S001,79465,82385
CLSFBI0104A_S001_B_80315_80441,PALM-UP,S001,80315,80441
CLSFBI0104A_S001_B_82545_83537,PALM-UP,S001,82545,83537
CLSFBI0104A_S001_B_84492_84690,PT:PRO1,S001,84492,84690
CLSFBI0104A_S001_B_86847_87928,PT:DET,S001,86847,87928
CLSFBI0104A_S001_B_91874_92019,PT:DET,S001,91874,92019
CLSFBI0104A_S001_B_92131_93384,PALM-UP,S001,92131,93384
CLSFBI0104A_S001_B_96759_98361,PT:PRO1,S001,96759,98361
CLSFBI0104A_S001_B_99155_99250,PT:PRO1,S001,99155,99250
CLSFBI0104A_S001_B_99638_99756,PT:PRO1,S001,99638,99756
CLSFBI0104A_S001_B_100751_100877,PT:PRO1,S001,100751,100877
CLSFBI0104A_S001_B_101459_101587,PT:PRO1,S001,101459,101587
CLSFBI0104A_S001_B_101732_101942,PT:PRO5,S001,101732,101942
CLSFBI0104A_S001_B_103524_103570,PT:PRO1,S001,103524,103570
CLSFBI0104A_S001_B_106622_107819,PALM-UP,S001,106622,107819
CLSFBI0104A_S001_B_108929_109408,PALM-UP,S001,108929,109408
CLSFBI0104A_S001_B_111299_111956,PALM-UP,S001,111299,111956
CLSFBI0104A_S001_B_112290_112431,PALM-UP,S001,112290,112431
CLSFBI0104A_S001_B_117343_117428,PT:PRO1,S001,117343,117428
CLSFBI0104A_S001_B_118171_118416,PT:PRO1,S001,118171,118416
CLSFBI0104A_S001_B_120582_120778,PT:PRO1,S001,120582,120778
CLSFBI0104A_S001_B_124315_124505,PT:LOC,S001,124315,124505
CLSFBI0104A_S001_B_127594_127745,PT:LOC,S001,127594,127745
CLSFBI0104A_S001_B_127809_127993,PT:PRO1,S001,127809,127993
CLSFBI0104A_S001_B_128398_128462,PT:PRO1,S001,128398,128462
CLSFBI0104A_S001_B_129062_129231,PT:PRO1,S001,129062,129231
CLSFBI0104A_S001_B_132551_132776,PALM-UP,S001,132551,132776
CLSFBI0104A_S001_B_134672_134815,PT:PRO1,S001,134672,134815
CLSFBI0104A_S001_B_135925_136114,PT:PRO1,S001,135925,136114
CLSFBI0104A_S001_B_136801_138100,PALM-UP,S001,136801,138100
CLSFBI0104A_S001_B_136801_138585,PALM-UP,S001,136801,138585
CLSFBI0104A_S001_B_140823_146618,PALM-UP,S001,140823,146618
CLSFBI0104A_S001_B_140823_147903,PALM-UP,S001,140823,147903
CLSFBI0104A_S001_B_146657_146853,PT:PRO2,S001,146657,146853
CLSFBI0104A_S001_B_146873_147374,PALM-UP,S001,146873,147374
CLSFBI0104A_S001_B_147411_147679,PT:PRO2,S001,147411,147679
CLSFBI0104A_S001_B_147826_147901,PALM-UP,S001,147826,147901
CLSFBI0104A_S001_B_205061_205196,PT:PRO2,S001,205061,205196
CLSFBI0104A_S001_B_206277_206358,PT:PRO2,S001,206277,206358
CLSFBI0104A_S001_B_206758_207026,PT:PRO2,S001,206758,207026
CLSFBI0104A_S001_B_207978_208085,PT:PRO2,S001,207978,208085
CLSFBI0104A_S001_B_243335_244062,PALM-UP,S001,243335,244062
CLSFBI0104A_S001_B_244776_245183,PALM-UP,S001,244776,245183
CLSFBI0104A_S001_B_250698_250966,PT:PRO1,S001,250698,250966
CLSFBI0104A_S001_B_251873_252004,PT:PRO1,S001,251873,252004
CLSFBI0104A_S001_B_252943_253060,PT:PRO1,S001,252943,253060
CLSFBI0104A_S001_B_270139_270254,PT:PRO2,S001,270139,270254
CLSFBI0104A_S001_B_270329_270411,PT:PRO1,S001,270329,270411
CLSFBI0104A_S001_B_271075_271492,PT:DET,S001,271075,271492
CLSFBI0104A_S001_B_297642_297752,PT:DET,S001,297642,297752
CLSFBI0104A_S001_B_298666_300427,PALM-UP,S001,298666,300427
CLSFBI0104A_S001_B_300623_300688,PT:PRO2,S001,300623,300688
CLSFBI0104A_S001_B_302853_302969,PT:PRO1,S001,302853,302969
CLSFBI0104A_S001_B_304148_309162,PALM-UP,S001,304148,309162
CLSFBI0104A_S001_B_312512_312616,PT:PRO1,S001,312512,312616
CLSFBI0104A_S001_B_313868_314385,PT:PRO6,S001,313868,314385
CLSFBI0104A_S001_B_321672_321733,PT:PRO2,S001,321672,321733
CLSFBI0104A_S001_B_322302_323305,PALM-UP,S001,322302,323305
CLSFBI0104A_S001_B_322302_323427,PALM-UP,S001,322302,323427
CLSFBI0104A_S001_B_341441_341965,PALM-UP,S001,341441,341965
CLSFBI0104A_S001_B_342715_342832,PT:PRO6,S001,342715,342832
CLSFBI0104A_S001_B_346162_346448,PT:PRO1,S001,346162,346448
CLSFBI0104A_S001_B_347040_347147,PT:PRO1,S001,347040,347147
CLSFBI0104A_S001_B_347862_347979,PT:PRO1,S001,347862,347979
CLSFBI0104A_S001_B_349257_349437,PT:PRO1,S001,349257,349437
CLSFBI0104A_S001_B_350631_350813,PT:PRO1,S001,350631,350813
CLSFBI0104A_S001_B_351495_351628,PT:PRO1,S001,351495,351628
CLSFBI0104A_S001_B_352083_352234,PT:PRO1,S001,352083,352234
CLSFBI0104A_S001_B_352517_352669,PT:POSS1,S001,352517,352669
CLSFBI0104A_S001_B_353006_353086,PT:PRO1,S001,353006,353086
CLSFBI0104A_S001_B_353583_353754,PT:PRO1,S001,353583,353754
CLSFBI0104A_S001_B_354491_354601,PT:PRO1,S001,354491,354601
CLSFBI0104A_S001_B_355826_355895,PT:PRO1,S001,355826,355895
CLSFBI0104A_S001_B_356613_356779,PT:PRO1,S001,356613,356779
CLSFBI0104A_S001_B_356832_357048,PT:POSS1,S001,356832,357048
CLSFBI0104A_S001_B_357440_357576,PT:POSS1,S001,357440,357576
CLSFBI0104A_S001_B_358556_358737,PT:PRO3,S001,358556,358737
CLSFBI0104A_S001_B_359506_359680,PT:PRO1,S001,359506,359680
CLSFBI0104A_S001_B_360327_360515,PT:PRO3,S001,360327,360515
CLSFBI0104A_S001_B_363639_363882,PT:PRO6,S001,363639,363882
CLSFBI0104A_S001_B_364308_364413,PT:PRO1,S001,364308,364413
CLSFBI0104A_S001_B_364478_365521,PALM-UP,S001,364478,365521
CLSFBI0104A_S001_B_368541_368696,PT:PRO1,S001,368541,368696
CLSFBI0104A_S001_B_370224_370383,PT:PRO6,S001,370224,370383
CLSFBI0104A_S001_B_373993_374044,PT:PRO1,S001,373993,374044
CLSFBI0104A_S001_B_375874_376192,PALM-UP,S001,375874,376192
CLSFBI0104A_S001_B_381659_383469,PT:DET,S001,381659,383469
CLSFBI0104A_S001_B_387053_387273,PALM-UP,S001,387053,387273
CLSFBI0104A_S001_B_390656_390736,PT:PR3,S001,390656,390736
CLSFBI0104A_S001_B_391760_391978,PT:PRO3,S001,391760,391978
CLSFBI0104A_S001_B_394262_394640,PT:DET,S001,394262,394640
CLSFBI0104A_S001_B_395463_395935,PALM-UP,S001,395463,395935
CLSFBI0104A_S001_B_397070_397243,PALM-UP,S001,397070,397243
CLSFBI0104A_S001_B_409979_411076,PALM-UP,S001,409979,411076
CLSFBI0104A_S001_B_413906_415581,PT:DET,S001,413906,415581
CLSFBI0104A_S001_B_417734_417837,PT:LOC,S001,417734,417837
CLSFBI0104A_S001_B_418755_419157,PALM-UP,S001,418755,419157
CLSFBI0104A_S001_B_423944_425030,PALM-UP,S001,423944,425030
CLSFBI0104A_S001_B_425377_425607,PALM-UP,S001,425377,425607
CLSFBI0104A_S001_B_428361_428603,PT:PRO3,S001,428361,428603
CLSFBI0104A_S001_B_431000_432300,PT:DET,S001,431000,432300
CLSFBI0104A_S001_B_433215_433963,PT:DET,S001,433215,433963
CLSFBI0104A_S001_B_434021_434268,PT:PRO3,S001,434021,434268
CLSFBI0104A_S001_B_434920_435031,PT:DET,S001,434920,435031
CLSFBI0104A_S001_B_439343_439630,PT:DET,S001,439343,439630
CLSFBI0104A_S001_B_440384_441371,PALM-UP,S001,440384,441371
CLSFBI0104A_S001_B_451738_452137,PT:PRO1,S001,451738,452137
CLSFBI0104A_S001_B_461677_461892,PT:PRO6,S001,461677,461892
CLSFBI0104A_S001_B_474065_474210,PT:DET,S001,474065,474210
CLSFBI0104A_S001_B_474273_474444,PT:PRO1,S001,474273,474444
CLSFBI0104A_S001_B_475113_475334,PT:PRO1,S001,475113,475334
CLSFBI0104A_S001_B_475582_475816,PT:PRO1,S001,475582,475816
CLSFBI0104A_S001_B_476817_477323,PT:POSS1,S001,476817,477323
CLSFBI0104A_S001_B_477396_477789,PALM-UP,S001,477396,477789
CLSFBI0104A_S001_B_478549_479535,PALM-UP,S001,478549,479535
CLSFBI0104A_S001_B_481753_483756,PALM-UP,S001,481753,483756
CLSFBI0104A_S001_B_483252_483756,PALM-UP,S001,483252,483756
CLSFBI0104A_S001_B_484743_484812,PT:POSS2,S001,484743,484812
CLSFBI0104A_S001_B_486359_486521,PT:PRO1,S001,486359,486521
CLSFBI0104A_S001_B_487759_488059,PT:POSS2,S001,487759,488059
CLSFBI0104A_S001_B_489682_490009,PALM-UP,S001,489682,490009
CLSFBI0104A_S001_B_489682_491162,PALM-UP,S001,489682,491162
CLSFBI0104A_S001_B_491516_492227,PALM-UP,S001,491516,492227
CLSFBI0104A_S001_B_491516_494113,PALM-UP,S001,491516,494113
CLSFBI0104A_S001_B_497970_498348,PALM-UP,S001,497970,498348
CLSFBI0104A_S002_B_6411_6632,PT:PRO1,S002,6411,6632
